cve_mun,nom_mun
1,Abasolo
2,Agualeguas
3,Los Aldamas
4,Allende
5,Anáhuac
6,Apodaca
7,Aramberri
8,Bustamante
9,Cadereyta Jiménez
10,El Carmen
11,Cerralvo
12,Ciénega de Flores
13,China
14,Doctor Arroyo
15,Doctor Coss
16,Doctor González
17,Galeana
18,García
19,San Pedro Garza García
20,General Bravo
21,General Escobedo
22,General Terán
23,General Treviño
24,General Zaragoza
25,General Zuazua
26,Guadalupe
27,Los Herreras
28,Higueras
29,Hualahuises
30,Iturbide
31,Juárez
32,Lampazos de Naranjo
33,Linares
34,Marín
35,Melchor Ocampo
36,Mier y Noriega
37,Mina
38,Montemorelos
39,Monterrey
40,Parás
41,Pesquería
42,Los Ramones
43,Rayones
44,Sabinas Hidalgo
45,Salinas Victoria
46,San Nicolás de los Garza
47,Hidalgo
48,Santa Catarina
49,Santiago
50,Vallecillo
51,Villaldama